#{"t_start": 1656015205.9632077, "env_id": "IK-Gazebo-v0"}
r,l,t
40.852151,1,6.095577
45.107391,1,6.300831
37.140848,1,6.497349
12.078212,1,6.664497
11.78167,1,6.863077
35.896815,1,7.064067
7.39943,1,7.318192
7.097937,1,7.583182
63.516743,1,7.776353
19.091079,1,8.040034
7.812598,1,8.201095
14.554042,1,8.439841
71.467446,1,8.62901
13.681927,1,8.821992
74.915552,1,8.955019
64.032362,1,9.161811
11.518244,1,9.373013
29.2761,1,9.607307
19.022474,1,9.80405
8.219895,1,10.013005
12.330711,1,10.241026
18.782778,1,10.434228
7.983004,1,10.631021
17.445101,1,10.861319
12.346978,1,11.0457
16.57403,1,11.27441
118.209386,1,11.468687
20.387427,1,11.713627
12.941661,1,11.890284
30.996667,1,12.0223
50.765749,1,12.204496
8.353988,1,12.528646
22.755737,1,12.761178
30.217194,1,12.966159
71.758738,1,13.104018
26.290567,1,13.337813
152.250594,1,13.599825
19.798866,1,13.865672
14.237562,1,14.078056
109.032277,1,14.318949
32.986765,1,14.51277
22.993807,1,14.739906
130.727545,1,14.92963
9.621438,1,15.128329
34.167895,1,15.32265
58.307946,1,15.509013
13.392911,1,15.734371
57.921192,1,15.975219
43.109115,1,16.200342
27.632888,1,16.431838
78.819619,1,16.612069
8.854066,1,16.898133
6.4753,1,17.103979
35.101108,1,17.282664
50.068335,1,17.472227
74.097551,1,17.644243
10.887088,1,17.853741
9.091557,1,18.156475
20.035927,1,18.405463
34.999909,1,18.620681
12.000825,1,18.818621
41.412815,1,19.042177
14.282955,1,19.282218
18.983074,1,19.466387
998.672758,1,19.640543
128.054756,1,19.852524
813.232394,1,19.995805
148.328335,1,20.157079
22.895392,1,20.411709
39.691451,1,20.61594
20.734913,1,20.815003
18.246577,1,21.077636
856.743032,1,21.332139
40.389862,1,21.61048
13.901679,1,21.833951
77.349387,1,22.093559
65.169272,1,22.242192
12.64084,1,22.452584
189.997968,1,22.674158
10.064621,1,22.939556
65.144591,1,23.213491
15.928559,1,23.448762
8.045137,1,23.65431
37.959183,1,23.867299
11.070019,1,24.06354
14.556315,1,24.269814
10.286281,1,24.471579
13.156038,1,24.666995
35.455491,1,24.879774
10.555229,1,25.147186
14.966033,1,25.360036
9.676819,1,25.600026
25.505514,1,25.779494
12.318344,1,26.013846
