#{"t_start": 1656303021.3791592, "env_id": "IK-WMO-Gazebo-v0"}
r,l,t
-1.003766,6,4.241228
-1.280198,20,6.015087
-1.269724,9,6.84479
-1.034868,7,7.486561
-0.855108,2,7.711218
-2.175358,100,16.160018
-1.200774,15,17.475219
-1.858984,43,21.243522
-1.154758,8,22.142396
-2.713196,73,28.288854
-2.401627,57,33.235327
-1.1134,4,33.654228
-1.484967,16,35.070786
-2.23515,64,41.103288
-1.017896,5,41.587972
-1.856003,45,45.786894
-0.93678,4,46.332667
-0.940025,3,46.893435
-0.969457,5,47.490353
-0.914846,2,47.757238
-1.162855,8,48.637878
-1.057708,7,49.447612
-1.050043,6,50.152149
-1.190936,11,51.352854
-1.03494,3,51.778629
-1.244042,8,52.803181
